IndicatorCode,NY.GDP.MKTP.KD.ZG
NY.GDP.MKTP.KD.ZG,1.0
NY.GDP.PCAP.KD.ZG,0.9938317266177601
NE.GDI.FTOT.KD.ZG,0.792708361929709
NE.GDI.TOTL.KD.ZG,0.7534177397265115
NY.GNP.PCAP.KD.ZG,0.7178792981619351
NY.ADJ.NNTY.PC.KD.ZG,0.6832771308581098
NE.IMP.GNFS.KD.ZG,0.6258495802846529
NY.GNP.MKTP.KD.ZG,0.6143402577225088
NY.ADJ.NNTY.KD.ZG,0.6095396353054491
NE.CON.PRVT.PC.KD.ZG,0.583122185840672
NE.GDI.TOTL.ZS,0.5533374484802506
NE.GDI.STKB.KN,0.5433897181526427
NE.CON.PETC.KD.ZG,0.5409944574472297
NE.GDI.STKB.CD,0.531262849719364
NE.GDI.STKB.CN,0.531262849719364
FR.INR.RISK,0.5119902789112232
TM.VAL.AGRI.ZS.UN,0.48062971880398414
NE.CON.PRVT.KD.ZG,0.4744439287820117
AG.LND.TRAC.ZS,0.47179045889264215
AG.AGR.TRAC.NO,0.46716096113380745
NE.CON.TETC.KD.ZG,0.45720648166485917
NY.GDS.TOTL.ZS,0.4437490906831614
NE.CON.TETC.ZS,0.4437490906831608
FI.RES.TOTL.CD,0.4270622170691634
TM.VAL.FOOD.ZS.UN,0.4112127812485569
NY.GSR.NFCY.CD,0.40876471124126695
NY.GSR.NFCY.CN,0.40876471124126695
GC.XPN.OTHR.CN,0.40872118320958134
TM.VAL.MMTL.ZS.UN,0.40628333621508295
TX.VAL.AGRI.ZS.UN,0.4048188992538797
NY.ADJ.DNGY.CD,0.39755980933908036
SH.STA.OWGH.MA.ZS,0.39667121412749906
BN.RES.INCL.CD,0.3960386992695503
GC.REV.GOTR.CN,0.3931342969344352
GC.REV.GOTR.ZS,0.39264220408901573
NY.ADJ.DMIN.CD,0.3918845854742034
FB.AST.NPER.ZS,0.39184303932700826
IQ.WEF.CUST.XQ,0.391082606240248
NY.GDP.COAL.RT.ZS,0.39037511257987784
FB.POS.TOTL.P5,0.3898318731398409
SP.REG.BRTH.ZS,0.38983187313984086
EN.CLC.MDAT.ZS,0.3898318731398408
AG.LND.ARBL.HA.PC,0.38893853787216637
IQ.WEF.PORT.XQ,0.387947531913804
NY.GSR.NFCY.KN,0.3838715252847897
GC.XPN.OTHR.ZS,0.38142296933212494
NE.EXP.GNFS.ZS,0.3787988282273841
GC.BAL.CASH.CN,0.37813836035752235
GC.BAL.CASH.GD.ZS,0.3768569308117917
GC.XPN.TRFT.CN,0.3752508690813353
